"AC ID","Title","Requirements","Specification sections","Test group","Priority","Earliest phase","Level","Fixture IDs","Given","When","Acceptance criterion","Status"
"AC-CFG-01","Unset preferences stay unset","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-01-nulls","An approved profile has null lot area, bays and capacity","Validate and screen the profile","Accept the profile and apply no user filter for those preferences","NOT_RUN"
"AC-CFG-02","Explicit geography required","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-02-invalid","The region is only named Eastern NC without a boundary","Request a live discovery run","Block live activation with GEOGRAPHY_REQUIRED","NOT_RUN"
"AC-CFG-03","Budget bounds are consistent","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-03-invalid","The preferred minimum exceeds the maximum","Validate the profile","Reject the configuration with INVALID_BUDGET_RANGE","NOT_RUN"
"AC-CFG-04","Negative prices are invalid","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-04-invalid","A configured rent limit is negative","Validate the profile","Reject the configuration rather than treating it as no limit","NOT_RUN"
"AC-CFG-05","Timezone must be valid","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-05-invalid","The schedule contains an invalid IANA timezone","Validate the profile","Reject the schedule with INVALID_TIMEZONE","NOT_RUN"
"AC-CFG-06","Rules are snapshotted","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","controlled-integration","","Criteria change after a run and before a queued inquiry","Reassess candidates and attempt dispatch","Keep the old audit snapshot; apply the new rules and cancel now-ineligible unsent work","NOT_RUN"
"AC-CFG-07","Lease strategies stay in scope","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-07-invalid","The profile is for existing direct/shared/subleased sites","Validate an attempted purchase-only or ground-development profile","Reject the out-of-scope strategy pending an explicit scope change","NOT_RUN"
"AC-CFG-08","Legal rules cannot be waived","R01;R02;R03;R04;R05;R06;R07","02;03","T01","P1","1","contract","TC-CFG-08-legal","A user preference is unset but a mandatory legal condition applies","Assess eligibility","Preserve the legal gate; an unset preference is not an exemption","NOT_RUN"
"AC-RNT-01","Monthly totals normalize","R04","03;06","T02","P0","1","contract","TC-RNT-01-800;TC-RNT-01-cap;TC-RNT-01-over","USD monthly base rent is explicitly quoted","Normalize rent","Use the exact monthly amount and compare it with the approved cap","NOT_RUN"
"AC-RNT-02","Annual totals normalize","R04","03;06","T02","P0","1","contract","TC-RNT-02-annual;TC-RNT-02-annual-cap","USD annual total base rent is explicitly quoted","Normalize rent","Divide the annual total by twelve with decimal-safe calculation","NOT_RUN"
"AC-RNT-03","Annual area rates normalize","R04","03;06","T02","P0","1","contract","TC-RNT-03-annual-area","The annual rate and exact leased square feet are confirmed","Normalize rent","Multiply rate by leased area and divide by twelve","NOT_RUN"
"AC-RNT-04","Monthly area rates normalize","R04","03;06","T02","P0","1","contract","TC-RNT-04-monthly-area","The monthly rate and exact leased square feet are confirmed","Normalize rent","Multiply the monthly area rate by leased area","NOT_RUN"
"AC-RNT-05","Unknown leased area remains unknown","R04","03;06","T02","P0","1","contract","TC-RNT-05-wrong-area;TC-RNT-05-missing-area","An area rate is given but only whole-building area is known for a sublet","Normalize rent","Return UNKNOWN without substituting whole-building area","NOT_RUN"
"AC-RNT-06","Ranges crossing cap need a quote","R04","03;06","T02","P0","1","contract","TC-RNT-06-crossing","An unselected-space rent range crosses the cap","Screen the rent","Return UNKNOWN and request the quote for the exact space","NOT_RUN"
"AC-RNT-07","Negotiable and missing are not zero","R04","03;06","T02","P0","1","contract","TC-RNT-07-missing;TC-RNT-07-negotiable","The rent is negotiable or absent","Normalize rent","Return UNKNOWN with no fabricated amount","NOT_RUN"
"AC-RNT-08","Fees stay separate from base rent","R04","03;06","T02","P0","1","contract","TC-RNT-08-fees;TC-RNT-08-complete-cost","Base rent and known additional monthly charges are supplied","Screen base rent and calculate known occupancy subtotal","Evaluate only base rent against the base cap; mark all-in total unknown when cost information is incomplete","NOT_RUN"
"AC-RNT-09","Cheaper sites are not rejected by default","R04","03;06","T02","P0","1","contract","TC-RNT-09-below-preferred","Rent is below the preferred range and no lower bound is binding","Screen rent","Pass the cap check without inventing a minimum-rent rejection","NOT_RUN"
"AC-RNT-10","Explicit lower bound is honored","R04","03;06","T02","P0","1","contract","TC-RNT-10-binding-min","A test profile explicitly makes the lower bound mandatory","Screen a quote below that bound","Fail the rent gate under that profile only","NOT_RUN"
"AC-RNT-11","Currency mismatch is not silently converted","R04","03;06","T02","P0","1","contract","TC-RNT-11-eur","The quote currency differs from the configured currency","Normalize rent without an approved exchange-rate rule","Reject with UNSUPPORTED_CURRENCY","NOT_RUN"
"AC-RNT-12","Invalid rates and units are rejected","R04","03;06","T02","P0","1","contract","TC-RNT-12-negative;TC-RNT-12-nonnumeric;TC-RNT-12-scientific;TC-RNT-12-unsupported","A quote has negative, nonnumeric or unsupported-unit data","Normalize rent","Reject malformed values or unsupported bases without coercing them to zero","NOT_RUN"
"AC-RNT-13","Rounding does not hide a cap breach","R04","03;06","T02","P0","1","contract","TC-RNT-13-rounding","An exact normalized amount is just above the cap but rounds to the cap for display","Screen rent","Fail using the unrounded amount while retaining a cents display value","NOT_RUN"
"AC-RNT-14","Entire ranges classify honestly","R04","03;06","T02","P0","1","contract","TC-RNT-14-range-under;TC-RNT-14-range-over","Every value in a quoted range is on the same side of the cap","Screen the range","Pass or fail the advertised-range gate without inventing a selected-space exact price","NOT_RUN"
"AC-ID-01","Different suites remain distinct","R03;R08","05;06;09","T03","P0","1","contract","TC-ID-01-suites","Two offers share an address but identify different suites","Resolve opportunity identity","Keep distinct spaces","NOT_RUN"
"AC-ID-02","Display allocations remain distinct","R03;R08","05;06;09","T03","P0","1","contract","TC-ID-02-display","Two shared-site offers allocate different display areas","Resolve identity","Keep distinct spaces even when the office address is the same","NOT_RUN"
"AC-ID-03","Syndication is one offer","R03;R08","05;06;09","T03","P0","1","contract","TC-ID-03-syndicated","Two publishers reproduce the same documented source offer","Resolve identity","Link the same opportunity and original-source group","NOT_RUN"
"AC-ID-04","Renaming is not a new space","R03;R08","05;06;09","T03","P0","1","contract","TC-ID-04-rename","A business name changes at an unchanged documented leased space","Resolve identity","Do not create a new property solely from the name change","NOT_RUN"
"AC-ID-05","Ambiguous matches are reviewed","R03;R08","05;06;09","T03","P0","1","contract","TC-ID-05-ambiguous","Address similarity exists without sufficient exact-space evidence","Resolve identity","Return REVIEW instead of automatically merging","NOT_RUN"
"AC-ID-06","Merges are reversible","R03;R08","05;06;09","T03","P0","1","controlled-integration","","Two spaces were incorrectly merged and have separate evidence histories","Reverse the merge","Restore separate identities and provenance without losing prior observations","NOT_RUN"
"AC-GEO-01","Postal city is not legal jurisdiction","R02","03;05;06","T04","P1","1","contract","TC-GEO-01-authority","Postal city and competent municipality differ","Resolve the approval authority","Use authoritative jurisdiction evidence, not the postal label","NOT_RUN"
"AC-GEO-02","Boundary ambiguity is visible","R02","03;05;06","T04","P1","1","contract","TC-GEO-02-boundary","Location uncertainty overlaps the configured boundary","Screen geography","Return UNKNOWN and request location resolution","NOT_RUN"
"AC-GEO-03","Distance methods are not interchangeable","R02","03;05;06","T04","P1","1","contract","TC-GEO-03-method","The profile requests drive time but only straight-line distance is available","Screen distance","Return UNKNOWN rather than substituting straight-line distance","NOT_RUN"
"AC-GEO-04","Outside sites fail the geographic gate","R02","03;05;06","T04","P1","1","contract","TC-GEO-04-outside","A verified leased-space location is outside the approved boundary","Screen geography","Fail with OUTSIDE_BOUNDARY","NOT_RUN"
"AC-GEO-05","Jurisdiction change is versioned","R02","03;05;06","T04","P1","1","controlled-integration","","Municipal, county or ETJ authority changes in new records","Refresh and reassess a candidate","Preserve prior authority evidence and use the reviewed new version","NOT_RUN"
"AC-EVD-01","Missing mandatory facts block verification","R08;R09","05;06","T05","P0","1","contract","TC-EVD-01-unknown","A mandatory evidence field is unknown","Build the verified shortlist","Exclude the candidate and create or retain a verification case","NOT_RUN"
"AC-EVD-02","Known failures block verification","R08;R09","05;06","T05","P0","1","contract","TC-EVD-02-fail","A mandatory criterion fails","Build the verified shortlist","Exclude the candidate without averaging the failure into a score","NOT_RUN"
"AC-EVD-03","Fresh competent evidence can qualify","R08;R09","05;06","T05","P0","1","contract","TC-EVD-03-fresh","All applicable mandatory criteria pass with current scoped evidence","Build the verified shortlist","Qualify for team review without claiming software-issued legal approval","NOT_RUN"
"AC-EVD-04","Stale evidence loses its badge","R08;R09","05;06","T05","P0","1","contract","TC-EVD-04-expired;TC-EVD-04-expiry-boundary","A material confirmation has expired","Reassess the property","Return UNKNOWN and remove current verification while preserving history","NOT_RUN"
"AC-EVD-05","Fetching is not reconfirming","R08;R09","05;06","T05","P0","1","contract","TC-EVD-05-refetched","An old quote is retrieved again today","Evaluate freshness","Use its original confirmation/effective date, not retrieval time","NOT_RUN"
"AC-EVD-06","Authority is fact-specific","R08;R09","05;06","T05","P0","1","contract","TC-EVD-06-broker","A broker states zoning should be fine","Assess the legal-use claim","Keep official approval UNKNOWN","NOT_RUN"
"AC-EVD-07","Permit scope must match","R08;R09","05;06","T05","P0","1","contract","TC-EVD-07-scope","An approval concerns another operator, space or layout","Assess the current proposal","Keep the approval gate UNKNOWN","NOT_RUN"
"AC-EVD-08","Conflicts remain unresolved","R08;R09","05;06","T05","P0","1","contract","TC-EVD-08-conflict","Two current relevant sources contradict on availability or price","Assess the disputed field","Return CONFLICT and block verified promotion until resolution","NOT_RUN"
"AC-EVD-09","Formal approval remains conditional","R08;R09","05;06","T05","P0","1","contract","TC-EVD-09-conditional","An authority says an application or inspection is still required","Assess status","Use CONDITIONAL_REVIEW, not an approved or verified badge","NOT_RUN"
"AC-EVD-10","Retention affects substantiation","R08;R09","05;06","T05","P0","1","controlled-integration","","Rights require deletion of evidence supporting a current claim","Apply deletion and reassess","Remove disallowed content and reassess claims that can no longer be substantiated","NOT_RUN"
"AC-SRC-01","Rights precede access","R08;R09","04;10;15","T06","P0","2","contract","TC-SRC-01-rights","An adapter has no approved automated-use rights","Plan ingestion","Block access; documentation is not a data license","NOT_RUN"
